"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"8","60.4869936057944","26.9048060171156","27"
"8","60.4816065149144","26.9112674618531","28"
"8","60.4780632984973","26.9139866771771","29"
"8","60.4739226859235","26.9169638629253","30"
"8","60.4727539856038","26.9197883989285","31"
"8","60.4707022734374","26.9224937890644","32"
"8","60.4689323604327","26.922264353723","33"
"8","60.4653173870611","26.9276303258698","34"
"8","60.4642673867144","26.934435871355","35"
"8","60.4628559170436","26.9348736355487","36"
"8","60.463749145728","26.9389453263854","37"
"8","60.4654222738539","26.9430343583187","38"
"8","60.4670243389161","26.9469232580725","39"
"8","60.46971485115622","26.95156363144471","40"
"9","60.5409574569203","26.8757409518725","1"
"9","60.5380479094673","26.8784181719584","2"
"9","60.5342943011009","26.8843824778836","3"
"9","60.5327811438864","26.8893487819267","4"
"9","60.5343522914291","26.9001232558416","5"
"9","60.5369494986651","26.9013594220016","6"
"9","60.5350591071205","26.9074932636512","7"
"9","60.5320098681423","26.9072403509438","8"
"9","60.5295099396183","26.903965151117","9"
"9","60.5270288232347","26.900848126469","10"
"9","60.5220540953438","26.9001177846491","11"
"9","60.5192042508501","26.8969037066631","12"
"9","60.5180638695162","26.8932500205004","13"
"9","60.5191525473774","26.8881180578682","14"
"9","60.525326087851","26.8866752378721","15"
"9","60.5197937551332","26.882323288828","16"
"9","60.5188781235827","26.8893377250422","17"
"9","60.5155295010236","26.8864339770924","18"
"9","60.5106710492787","26.8887719107718","19"
"9","60.5063196709505","26.896331227525","20"
"9","60.503149750926","26.8853961200644","21"
"9","60.5026134290101","26.8740686319612","22"
"9","60.5006072261244","26.8712925006978","23"
"9","60.4969194594458","26.8716180405192","24"
"9","60.4948098672738","26.8657968636387","25"
"9","60.4946727722367","26.8587876287628","26"
"9","60.4941266097109","26.8566760234181","27"
"9","60.4919483831426","26.8557315397855","28"
"9","60.4906372821816","26.8544935619641","29"
"9","60.4865187861747","26.8532368583355","30"
"9","60.4838560914751","26.8566364332288","31"
"9","60.481666492643","26.8595012393068","32"
"9","60.4794931662248","26.8668141814479","33"
"9","60.4770644161845","26.8683304033339","34"
"9","60.4749707961172","26.8728774543129","35"
"9","60.4720430330938","26.8922239606157","36"
"9","60.4742756859235","26.8770801457442","37"
"9","60.466502153293","26.8794348896019","38"
"9","60.4644111959174","26.881606796868","39"
"9","60.4605188549261","26.8830854883273","40"
"9","60.4592082712981","26.87679399689","41"
"9","60.4559055991746","26.8779722926546","42"
"9","60.4507392079251","26.8772018711919","43"
"9","60.4475503587037","26.8779796226821","44"
"9","60.4442762067579","26.8873163419205","45"
"9","60.4405018278903","26.885129466995","46"
"10","60.569127249157","27.1885307839635","1"
"10","60.5749535746761","27.1918331278782","2"
"10","60.5785011426513","27.1913482117828","3"
"10","60.5825428948599","27.1895389664129","4"
"10","60.5859894410262","27.1856861722639","5"
"10","60.5937114629642","27.1739742746426","6"
"10","60.5970067319464","27.1696197356641","7"
"10","60.6042092430638","27.1631714097056","8"
"10","60.6126849562336","27.1862462362321","9"
"10","60.614916184511","27.190697497078","10"
"10","60.6129493667994","27.1953879714203","11"
"10","60.6096518069634","27.2035842902571","12"
"10","60.6061732019309","27.2071601166077","13"
"10","60.6022938395419","27.2058074718036","14"
"10","60.5961991070523","27.2105616791463","15"
"10","60.592248130885","27.2116548680654","16"
"10","60.5887626075313","27.2161943551848","17"
"10","60.5832966467204","27.2229803191984","18"
"10","60.5768344658967","27.2248326344526","19"
"10","60.5725534591458","27.2274769986278","20"
"10","60.5620712848449","27.2286207706793","21"
"10","60.5569387943083","27.2305406617382","22"
"10","60.5554348563798","27.237291632522","23"
"10","60.5599164946564","27.2691073833797","24"
"10","60.546532646808444","27.307508778827735","25"
