"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"134779","","Purolantie 398","60.4596747580408","26.6344222867579","1","","0","","","","","0","",""
"134780","","Purolantie 410","60.4587599566699","26.6360565997051","1","","0","","","","","0","",""
"134781","","Purolantie 418","60.4582153870705","26.6363140961578","1","","0","","","","","0","",""
"134782","","Purolantie 466","60.4551324648397","26.6406920206543","1","","0","","","","","0","",""
"134783","","Purolantie 472","60.4546392352372","26.6411096409565","1","","0","","","","","0","",""
"134784","","Purolantie 558","60.4479076785266","26.6462612217138","1","","0","","","","","0","",""
"134785","","Purolantie 566","60.4473770030346","26.6475609937575","1","","0","","","","","0","",""
"134786","","Purolantie 606","60.4447939345764","26.6536255645917","1","","0","","","","","0","",""
"134787","","Purolantie 620","60.4435029743499","26.6550803430835","1","","0","","","","","0","",""
"134788","","Purolantie 686","60.4377589451671","26.6551227990654","1","","0","","","","","0","",""
"134789","","Purolantie 693","60.437110565543","26.6545298908739","1","","0","","","","","0","",""
"134790","","Tuuskintie 11","60.4304704504885","26.6002485169949","1","","0","","","","","0","",""
"134791","","Tuuskintie 15","60.4300326528421","26.600065887012","1","","0","","","","","0","",""
"134792","","Harjuntie 5","60.4926042184054","26.5431416061495","1","","0","","","","","0","",""
"134793","","Limalahti th","60.583194625954","26.6270082475399","1","","0","","","","","0","",""
"134794","","Harjuntie 1524","60.6019659291291","26.6348085664611","1","","0","","","","","0","",""
"134795","","Harjuntie 1651","60.6107830038605","26.6493449285585","1","","0","","","","","0","",""
"134796","","Länsikyläntie 622 L","60.5096270090962","26.6604419418887","1","","0","","","","","0","",""
"134797","","Länsikyläntie 622 I","60.5096803474428","26.6607330095117","1","","0","","","","","0","",""
"134798","","Länsikyläntie 663","60.5098828562504","26.667142038214","1","","0","","","","","0","",""
"134799","","Länsikyläntie 676","60.5103114044293","26.6690327839742","1","","0","","","","","0","",""
"134800","","Länsikyläntie 734","60.5084765080588","26.6786769623437","1","","0","","","","","0","",""
"134801","","Länsikyläntie 742","60.5082633150781","26.6798238296899","1","","0","","","","","0","",""
"134832","","Kiviniementie 8","60.4907990074643","26.7366312743065","2","","0","","","","","0","",""
"134833","","Kiviniementie 70","60.4864849125915","26.7296777088553","2","","0","","","","","0","",""
"134834","","Kiviniementie 79","60.4856761619707","26.7290248707409","2","","0","","","","","0","",""
"134835","","Kiviniementie 104","60.4836528394984","26.7276450548416","2","","0","","","","","0","",""
"134836","","Kiviniementie 110","60.4830129806341","26.7274272708724","2","","0","","","","","0","",""
"134837","","Kiviniementie 142","60.4801425548601","26.7277140516687","2","","0","","","","","0","",""
"134838","","Kiviniementie 152","60.4793590898465","26.7282119967359","2","","0","","","","","0","",""
"134862","","Huutjärventie 6","60.4910902341014","26.7380939357824","2","","0","","","","","0","",""
"134863","","Huutjärventie 23","60.4907588116507","26.7413479540582","2","","0","","","","","0","",""
"134864","","Huutjärventie 28","60.4907073951412","26.7418670359365","2","","0","","","","","0","",""
"134865","","Huutjärventie 58","60.4894109236041","26.7464760013274","2","","0","","","","","0","",""
"134866","","Huutjärventie 62","60.4890698529804","26.7469087394942","2","","0","","","","","0","",""
"134867","","Huutjärventie 106","60.4876129222133","26.7533536010882","2","","0","","","","","0","",""
"134868","","Huutjärventie 111","60.4876458740313","26.7543901682949","2","","0","","","","","0","",""
"134869","","Huutjärventie 135","60.4881350453564","26.7587498107195","2","","0","","","","","0","",""
"134870","","Huutjärventie 147","60.4885306819715","26.760513354599","2","","0","","","","","0","",""
"134871","","Huutjärventie 186","60.4904020793818","26.7663619336851","2","","0","","","","","0","",""
"134872","","Huutjärventie 197","60.49117917468","26.7676042903582","2","","0","","","","","0","",""
"134873","","Huutjärventie 226","60.4934866990785","26.7695142218149","2","","0","","","","","0","",""
"134874","","Huutjärventie 241","60.4950027627251","26.7711219824855","2","","0","","","","","0","",""
"134875","","Huutjärventie 252","60.4957728480722","26.771271220351","2","","0","","","","","0","",""
"134876","","Heinlahdentie 95","60.4819921396931","26.7946611117421","2","","0","","","","","0","",""
"134877","","Heinlahdentie 105","60.4815358133473","26.7937518978218","2","","0","","","","","0","",""
"134878","","Heinlahdentie 146","60.4789313420479","26.7890466742126","2","","0","","","","","0","",""
"134879","","Heinlahdentie 151","60.4789162671944","26.7880187454968","2","","0","","","","","0","",""
